    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                1 2.023e-06 |
  2 |   2                2 1.695e-06 |
  3 |   3                4 1.112e-06 |
  4 |   3                4 1.070e-06 |
  5 |   4                6 1.098e-06 |
  6 |   4                7 1.307e-06 |
  7 |   5                9 1.287e-06 |
  8 |   5               11 1.540e-06 |
  9 |   5                9 1.500e-06 |
 10 |   6               12 1.708e-06 |
 11 |   6               14 2.655e-06 |
 12 |   6               12 2.047e-06 |
 13 |   7               16 1.412e-06 |
 14 |   7               19 1.198e-06 |
 15 |   7               19 1.150e-06 |
 16 |   7               15 1.014e-06 |
 17 |   8               19 1.043e-06 |
 18 |   8               22 1.107e-06 |
 19 |   8               23 1.264e-06 |
 20 |   8               20 1.152e-06 |
 21 |   9               25 1.739e-06 |
 22 |   9               29 1.270e-06 |
 23 |   9               30 7.900e-07 |
 24 |   9               28 8.400e-07 |
 25 |   9               21 6.410e-07 |
 26 |  10               24 8.640e-07 |
 27 |  10               27 8.480e-07 |
 28 |  10               26 6.010e-07 |
 29 |  10               24 4.750e-07 |
 30 |  10               20 3.840e-07 |
 31 |  11               23 3.870e-07 |
 32 |  11               25 4.110e-07 |
 33 |  11               23 3.630e-07 |
 34 |  12               26 4.350e-07 |
 35 |  12               28 4.530e-07 |
 36 |  12               27 4.770e-07 |
 37 |  12               24 4.420e-07 |
 38 |  13               27 4.390e-07 |
 39 |  13               29 4.590e-07 |
 40 |  13               27 4.220e-07 |
 41 |  14               31 4.590e-07 |
 42 |  14               34 4.800e-07 |
 43 |  14               33 4.960e-07 |
 44 |  14               29 4.240e-07 |
 45 |  15               32 4.560e-07 |
 46 |  15               34 4.830e-07 |
 47 |  15               33 4.980e-07 |
 48 |  15               29 4.910e-07 |
 49 |  16               31 4.930e-07 |
 50 |  16               31 5.110e-07 |
 55 |  19               37 1.316e-06 |
 60 |  21               43 7.450e-07 |
 65 |  23               48 6.840e-07 |
 70 |  25               53 6.770e-07 |
 75 |  26               59 7.070e-07 |
 80 |  27               68 8.630e-07 |
 85 |  28               71 9.390e-07 |
 90 |  29               66 1.014e-06 |
 95 |  31               66 9.850e-07 |
100 |  34               72 9.200e-07 |
110 |  39               83 2.311e-06 |
120 |  42               93 1.827e-06 |
130 |  44              104 1.344e-06 |
140 |  46              109 1.352e-06 |
150 |  48              112 1.519e-06 |
160 |  51              106 1.398e-06 |
170 |  56              117 1.392e-06 |
180 |  59              129 1.594e-06 |
190 |  61              141 1.702e-06 |
200 |  63              149 1.878e-06 |
220 |  70              144 2.864e-06 |
240 |  78              168 1.733e-06 |
260 |  82              173 1.787e-06 |
280 |  88              180 1.944e-06 |
300 |  96              203 2.030e-06 |
320 | 100              207 2.144e-06 |
340 | 109              229 2.297e-06 |
360 | 114              239 2.324e-06 |
380 | 118              258 2.786e-06 |
400 | 127              262 4.173e-06 |
420 | 132              279 4.992e-06 |
440 | 137              283 3.610e-06 |
460 | 145              299 3.435e-06 |
480 | 151              321 3.570e-06 |
500 | 157              323 3.550e-06 |
520 | 165              341 3.676e-06 |
540 | 170              373 4.116e-06 |
560 | 177              368 4.213e-06 |
580 | 184              390 4.215e-06 |
600 | 187              399 5.676e-06 |
620 | 194              408 4.610e-06 |
640 | 202              432 4.775e-06 |
660 | 206              435 4.630e-06 |
680 | 213              446 4.775e-06 |
700 | 221              465 4.890e-06 |
720 | 226              480 5.390e-06 |
740 | 236              502 5.366e-06 |
760 | 240              514 5.442e-06 |
780 | 244              520 5.669e-06 |
800 | 254              543 6.601e-06 |
--- + --- ---------------- --------- +
