    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                1 2.401e-06 |
  2 |   2                2 1.227e-06 |
  3 |   3                4 1.124e-06 |
  4 |   3                7 1.203e-06 |
  5 |   4               12 1.433e-06 |
  6 |   4               21 1.753e-06 |
  7 |   5               35 2.045e-06 |
  8 |   5               59 2.641e-06 |
  9 |   5               99 3.591e-06 |
 10 |   6              166 5.164e-06 |
 11 |   6              278 2.282e-06 |
 12 |   6              464 2.642e-06 |
 13 |   7              776 4.319e-06 |
 14 |   7             1296 6.850e-06 |
 15 |   7             2164 1.132e-05 |
 16 |   7             3613 1.867e-05 |
 17 |   8             6030 3.091e-05 |
 18 |   8            10064 5.108e-05 |
 19 |   8            16794 8.496e-05 |
 20 |   8            28010 1.419e-04 |
 21 |   9            46723 2.507e-04 |
 22 |   9            77939 3.935e-04 |
 23 |   9           130017 6.554e-04 |
 24 |   9           216883 1.142e-03 |
 25 |   9           361794 1.835e-03 |
 26 |  10           603538 3.128e-03 |
 27 |  10          1006804 5.071e-03 |
 28 |  10          1679526 8.456e-03 |
 29 |  10          2801750 1.402e-02 |
 30 |  11          4675995 2.362e-02 |
 31 |  11          7752044 3.972e-02 |
 32 |  11         12883434 6.578e-02 |
 33 |  11         21443511 1.098e-01 |
 34 |  12         35676330 1.793e-01 |
 35 |  12         59419192 2.978e-01 |
 36 |  12         98979604 4.928e-01 |
 37 |  13        164879571 8.344e-01 |
 38 |  13        274718603 1.414e+00 |
 39 |  13        457715075 2.352e+00 |
 40 |  14        762657315 3.929e+00 |
 41 |  14       1277345351 6.450e+00 |
 42 |  14       2134951308 1.078e+01 |
 43 |  15       3545806207 1.796e+01 |
 44 |  15       5903242053 2.990e+01 |
 45 |  15       9831454247 4.978e+01 |
 46 |  16      16365408989 8.333e+01 |
 47 |  16      27266021957 1.370e+02 |
 48 |  16      45424691832 2.272e+02 |
 49 |  17      75678862324 3.779e+02 |
 50 |  17     121085996915 6.398e+02 |
