    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                1 6.750e-07 |
  2 |   2                2 4.040e-07 |
  3 |   3                4 3.320e-07 |
  4 |   3                4 3.000e-07 |
  5 |   4                6 4.060e-07 |
  6 |   4                7 4.180e-07 |
  7 |   5                9 3.540e-07 |
  8 |   5               11 4.660e-07 |
  9 |   5                9 3.270e-07 |
 10 |   6               12 3.610e-07 |
 11 |   6               14 9.340e-07 |
 12 |   6               12 3.950e-07 |
 13 |   7               16 3.970e-07 |
 14 |   7               19 3.900e-07 |
 15 |   7               19 3.800e-07 |
 16 |   7               15 3.330e-07 |
 17 |   8               19 3.530e-07 |
 18 |   8               22 3.830e-07 |
 19 |   8               23 4.540e-07 |
 20 |   8               20 3.900e-07 |
 21 |   9               25 1.626e-06 |
 22 |   9               29 5.270e-07 |
 23 |   9               30 5.360e-07 |
 24 |   9               28 5.110e-07 |
 25 |   9               21 4.390e-07 |
 26 |  10               24 5.460e-07 |
 27 |  10               27 5.760e-07 |
 28 |  10               26 5.780e-07 |
 29 |  10               24 4.890e-07 |
 30 |  10               20 3.670e-07 |
 31 |  11               22 3.850e-07 |
 32 |  11               24 3.920e-07 |
 33 |  11               22 3.450e-07 |
 34 |  12               24 3.970e-07 |
 35 |  12               26 3.850e-07 |
 36 |  12               24 3.760e-07 |
 37 |  13               26 3.780e-07 |
 38 |  13               28 3.730e-07 |
 39 |  13               26 3.810e-07 |
 40 |  14               28 3.820e-07 |
 41 |  14               30 3.820e-07 |
 42 |  14               28 3.710e-07 |
 43 |  15               30 4.160e-07 |
 44 |  15               32 4.130e-07 |
 45 |  15               30 3.940e-07 |
 46 |  16               32 4.300e-07 |
 47 |  16               34 4.110e-07 |
 48 |  16               31 4.450e-07 |
 49 |  17               33 4.680e-07 |
 50 |  17               33 4.930e-07 |
 55 |  20               39 1.640e-06 |
 60 |  22               43 7.150e-07 |
 65 |  24               48 6.880e-07 |
 70 |  26               58 7.270e-07 |
 75 |  27               62 7.740e-07 |
 80 |  28               70 9.590e-07 |
 85 |  29               71 9.920e-07 |
 90 |  30               65 1.136e-06 |
 95 |  33               71 1.072e-06 |
100 |  35               75 9.050e-07 |
110 |  40               86 2.036e-06 |
120 |  43               96 1.276e-06 |
130 |  45              107 1.348e-06 |
140 |  47              115 1.388e-06 |
150 |  49              109 1.493e-06 |
160 |  53              114 1.510e-06 |
170 |  58              124 1.473e-06 |
180 |  61              137 1.592e-06 |
190 |  63              141 1.604e-06 |
200 |  65              154 1.891e-06 |
220 |  72              152 3.415e-06 |
240 |  80              173 2.126e-06 |
260 |  84              181 2.080e-06 |
280 |  91              191 4.421e-06 |
300 |  98              207 2.340e-06 |
320 | 102              213 2.470e-06 |
340 | 112              235 2.615e-06 |
360 | 116              243 2.688e-06 |
380 | 121              263 3.167e-06 |
400 | 130              279 3.300e-06 |
420 | 135              303 8.326e-06 |
440 | 140              297 4.949e-06 |
460 | 148              315 4.708e-06 |
480 | 153              329 4.944e-06 |
500 | 160              337 8.130e-06 |
520 | 168              360 4.945e-06 |
540 | 172              386 6.259e-06 |
560 | 180              380 5.703e-06 |
580 | 187              402 6.229e-06 |
600 | 191              420 6.016e-06 |
620 | 198              421 5.884e-06 |
640 | 206              445 5.863e-06 |
660 | 210              448 6.308e-06 |
680 | 216              459 6.397e-06 |
700 | 223              474 7.902e-06 |
720 | 227              479 6.878e-06 |
740 | 237              501 7.331e-06 |
760 | 241              513 5.444e-06 |
780 | 245              524 5.797e-06 |
800 | 255              541 5.814e-06 |
--- + --- ---------------- --------- +
