    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                1 1.532e-06 |
  2 |   2                2 1.172e-06 |
  3 |   3                4 1.232e-06 |
  4 |   3                4 9.540e-07 |
  5 |   4                6 1.049e-06 |
  6 |   4                7 1.090e-06 |
  7 |   5                9 1.325e-06 |
  8 |   5               11 1.282e-06 |
  9 |   5                9 1.132e-06 |
 10 |   6               12 1.256e-06 |
 11 |   6               14 7.380e-07 |
 12 |   6               12 2.820e-07 |
 13 |   7               16 3.310e-07 |
 14 |   7               19 3.350e-07 |
 15 |   7               19 3.440e-07 |
 16 |   7               15 2.830e-07 |
 17 |   8               19 2.950e-07 |
 18 |   8               22 3.110e-07 |
 19 |   8               23 3.570e-07 |
 20 |   8               19 3.710e-07 |
 21 |   9               23 1.377e-06 |
 22 |   9               27 6.860e-07 |
 23 |   9               28 7.470e-07 |
 24 |   9               25 7.610e-07 |
 25 |   9               18 5.690e-07 |
 26 |  10               22 5.660e-07 |
 27 |  10               25 4.900e-07 |
 28 |  10               24 6.240e-07 |
 29 |  10               20 4.920e-07 |
 30 |  11               24 5.630e-07 |
 31 |  11               26 6.120e-07 |
 32 |  11               25 5.950e-07 |
 33 |  11               21 5.580e-07 |
 34 |  12               23 5.850e-07 |
 35 |  12               25 5.640e-07 |
 36 |  12               23 5.150e-07 |
 37 |  13               25 6.520e-07 |
 38 |  13               27 5.390e-07 |
 39 |  13               25 4.810e-07 |
 40 |  14               27 5.680e-07 |
 41 |  14               29 5.360e-07 |
 42 |  14               27 5.280e-07 |
 43 |  15               29 5.390e-07 |
 44 |  15               31 5.350e-07 |
 45 |  15               29 5.310e-07 |
 46 |  16               31 5.510e-07 |
 47 |  16               33 5.510e-07 |
 48 |  16               31 5.380e-07 |
 49 |  17               33 5.420e-07 |
 50 |  17               34 6.440e-07 |
 55 |  19               36 7.750e-07 |
 60 |  22               42 6.440e-07 |
 65 |  24               49 6.370e-07 |
 70 |  26               54 6.040e-07 |
 75 |  27               60 6.510e-07 |
 80 |  28               69 8.130e-07 |
 85 |  29               72 8.920e-07 |
 90 |  30               66 9.320e-07 |
 95 |  32               67 8.830e-07 |
100 |  35               73 8.370e-07 |
110 |  39               82 1.225e-06 |
120 |  42               96 1.062e-06 |
130 |  44              105 1.144e-06 |
140 |  46              109 1.113e-06 |
150 |  48              109 1.168e-06 |
160 |  53              111 1.192e-06 |
170 |  58              121 1.241e-06 |
180 |  61              134 1.339e-06 |
190 |  63              138 1.375e-06 |
200 |  65              150 1.616e-06 |
220 |  73              151 2.145e-06 |
240 |  81              172 1.905e-06 |
260 |  85              180 1.866e-06 |
280 |  91              187 1.883e-06 |
300 |  98              208 2.085e-06 |
320 | 102              211 2.194e-06 |
340 | 111              233 3.475e-06 |
360 | 116              243 2.337e-06 |
380 | 120              264 2.843e-06 |
400 | 129              267 2.652e-06 |
420 | 134              292 4.496e-06 |
440 | 139              294 3.990e-06 |
460 | 147              304 3.524e-06 |
480 | 152              329 3.577e-06 |
500 | 158              326 3.637e-06 |
520 | 165              342 3.765e-06 |
540 | 170              372 5.323e-06 |
560 | 176              363 4.143e-06 |
580 | 183              386 4.200e-06 |
600 | 187              403 4.372e-06 |
620 | 193              398 4.305e-06 |
640 | 201              422 4.452e-06 |
660 | 205              425 4.517e-06 |
680 | 212              437 4.705e-06 |
700 | 220              460 4.857e-06 |
720 | 225              466 5.076e-06 |
740 | 234              488 5.934e-06 |
760 | 239              502 5.409e-06 |
780 | 243              505 5.472e-06 |
800 | 252              524 5.589e-06 |
--- + --- ---------------- --------- +
